Class,Custom-v1 (ResNet50),Torchvision (ResNet50),Custom-v2 (ResNet101+V3+),Improved-v2 (ResNet101+CBAM),V3+TTA (ResNet101+Focal+OHEM)
Animal,0.0000,0.0000,0.0000,0.0000,0.0000
Archway,0.0001,0.0520,0.0019,0.0467,0.0379
Bicyclist,0.6600,0.7089,0.6867,0.7080,0.7930
Bridge,0.6602,0.6778,0.7343,0.7398,0.7676
Building,0.8425,0.8592,0.8665,0.8518,0.8923
Car,0.7762,0.8094,0.7923,0.8194,0.8515
CartLuggagePram,0.0000,0.0000,0.0000,0.0000,0.0393
Child,0.1650,0.2426,0.1711,0.1773,0.2761
Column_Pole,0.1096,0.2421,0.2969,0.3180,0.4064
Fence,0.5860,0.6332,0.6489,0.6479,0.7012
LaneMkgsDriv,0.2054,0.4232,0.5471,0.5653,0.6283
LaneMkgsNonDriv,0.0000,0.0000,0.0000,0.0000,0.0000
Misc_Text,0.3181,0.3760,0.3898,0.4344,0.4339
MotorcycleScooter,0.0000,0.0000,0.0000,0.0000,0.0000
OtherMoving,0.4498,0.5178,0.5157,0.5251,0.5873
ParkingBlock,0.4424,0.4828,0.4768,0.5402,0.6004
Pedestrian,0.4205,0.5006,0.5118,0.5096,0.6121
Road,0.8989,0.9170,0.9313,0.9324,0.9418
RoadShoulder,0.5293,0.5513,0.6164,0.5977,0.6848
Sidewalk,0.7914,0.8207,0.8393,0.8323,0.8640
SignSymbol,0.2832,0.3743,0.4366,0.3912,0.5332
Sky,0.9040,0.9167,0.9223,0.9223,0.9287
SUVPickupTruck,0.3149,0.3777,0.3982,0.2857,0.4767
TrafficCone,0.0000,0.0000,0.0000,0.0000,0.0000
TrafficLight,0.5433,0.6266,0.6751,0.6783,0.7355
Train,0.0000,0.0000,0.0000,0.0000,0.0000
Tree,0.7625,0.7858,0.7836,0.7863,0.8066
Truck_Bus,0.3131,0.2204,0.3063,0.3124,0.3594
Tunnel,0.0000,0.0000,0.0000,0.0000,0.0000
VegetationMisc,0.5315,0.5628,0.5722,0.5998,0.6252
Void,0.4584,0.4935,0.4896,0.4786,0.5228
Wall,0.5595,0.5964,0.6163,0.6122,0.6646
